variable,type,label,labelset,dataset_label
m81m,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: private clinic,NA,NA
m81n,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: patent & proprietary medicine vendors (ppmv),NA,NA
m81o,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: mobile clinic,NA,NA
m81p,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: maternity center,NA,NA
m81q,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: other private medical center,NA,NA
m81r,haven_labelled|vctrs_vctr|double,na - place obtained iron tablets/syrup: cs private medical,NA,NA
m81na,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: faith-based hospital,NA,NA
m81nb,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: faith-based clinic,NA,NA
m81nc,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: other ngo medical sector,NA,NA
m81nd,haven_labelled|vctrs_vctr|double,na - place obtained iron tablets/syrup: cs ngo,NA,NA
m81ne,haven_labelled|vctrs_vctr|double,na - place obtained iron tablets/syrup: cs ngo,NA,NA
m81s,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: shop,NA,NA
m81t,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: market,NA,NA
m81u,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: mass distribution campaign,NA,NA
m81v,haven_labelled|vctrs_vctr|double,na - place obtained iron tablets/syrup: cs other sector,NA,NA
m81w,haven_labelled|vctrs_vctr|double,na - place obtained iron tablets/syrup: cs other sector,NA,NA
m81x,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: other,NA,NA
m82,haven_labelled|vctrs_vctr|double,na - during pregnancy received food/cash through assistance program,NA,NA
ml0,haven_labelled|vctrs_vctr|double,type of mosquito bed net(s) child slept under last night,NA,NA
ml1,haven_labelled|vctrs_vctr|double,number of times took fansidar during pregnancy,NA,NA
ml2,haven_labelled|vctrs_vctr|double,source of antimalarial during pregnancy,NA,NA
mnb1,haven_labelled|vctrs_vctr|double,time after birth child was bathed,NA,NA
mnb3,haven_labelled|vctrs_vctr|double,device used to cut the cord,NA,NA
mnb4,haven_labelled|vctrs_vctr|double,was the device new or had it been used before,NA,NA
mnb5,haven_labelled|vctrs_vctr|double,was the device boiled before used to cut the cord,NA,NA
mnb6,haven_labelled|vctrs_vctr|double,anything applied to the cord from the time it was cut until it fell off,NA,NA
mnb7a,haven_labelled|vctrs_vctr|double,what was applied to the cord: chlorhexidine,NA,NA
mnb7b,haven_labelled|vctrs_vctr|double,"what was applied to the cord: other antiseptic (alcohol, spirit, gentian violet)",NA,NA
mnb7c,haven_labelled|vctrs_vctr|double,what was applied to the cord: mustard oil,NA,NA
mnb7d,haven_labelled|vctrs_vctr|double,what was applied to the cord: ash,NA,NA
mnb7e,haven_labelled|vctrs_vctr|double,what was applied to the cord: animal dung,NA,NA
mnb7f,haven_labelled|vctrs_vctr|double,what was applied to the cord: spirit,NA,NA
mnb7g,haven_labelled|vctrs_vctr|double,what was applied to the cord: gentian violet,NA,NA
mnb7h,haven_labelled|vctrs_vctr|double,what was applied to the cord: other antiseptic (alcohol etc.),NA,NA
mnb7i,haven_labelled|vctrs_vctr|double,what was applied to the cord: toothpaste,NA,NA
mnb7j,haven_labelled|vctrs_vctr|double,what was applied to the cord: vaseline,NA,NA
mnb7x,haven_labelled|vctrs_vctr|double,what was applied to the cord: other,NA,NA
mnb7z,haven_labelled|vctrs_vctr|double,what was applied to the cord: don't know,NA,NA
mnb10,haven_labelled|vctrs_vctr|double,was chlorhexidine applied to the cord at any time,NA,NA
mnb11,haven_labelled|vctrs_vctr|double,time after cord was cut chlorhexidine was first applied,NA,NA
mnb12,haven_labelled|vctrs_vctr|double,days chlorhexidine was applied to the cord,NA,NA
mh3a,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: where to deliver baby,NA,NA
mh3b,haven_labelled|vctrs_vctr|double,"na - during antenatal care discussed: if wanted a relative, friend, neighbor dur",NA,NA
mh3c,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: transportation to delivery place,NA,NA
mh3d,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: source of funds for delivery,NA,NA
mh3e,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: asking someone as blood donor if necessary,NA,NA
mh3f,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: find healthcare provider to deliver child,NA,NA
mh3g,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: cs,NA,NA
mh3h,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: cs,NA,NA
mh3i,haven_labelled|vctrs_vctr|double,na - during antenatal care discussed: cs,NA,NA
mh5,haven_labelled|vctrs_vctr|double,na - healthcare provider measure blood pressure before delivery,NA,NA
mh6,haven_labelled|vctrs_vctr|double,na - while in labor wanted to have someone by your side,NA,NA
mh7,haven_labelled|vctrs_vctr|double,na - while in labor the person you wanted by your side was with you,NA,NA
mh8,haven_labelled|vctrs_vctr|double,na - while in labor how much time the person you wanted by your side was allowed,NA,NA
mh9,haven_labelled|vctrs_vctr|double,na - reason the person you wanted by your side was not with you during labor,NA,NA
mh10,haven_labelled|vctrs_vctr|double,na - during delivery wanted to have someone by your side,NA,NA
mh11,haven_labelled|vctrs_vctr|double,na - during delivery the person you wanted by your side was with you,NA,NA
mh12,haven_labelled|vctrs_vctr|double,na - during delivery how much time the person you wanted by your side was allowe,NA,NA
mh13,haven_labelled|vctrs_vctr|double,na - reason the person you wanted by your side was not with you during delivery,NA,NA
mh14,haven_labelled|vctrs_vctr|double,na - was an instrument used to help pull out the baby,NA,NA
mh15,haven_labelled|vctrs_vctr|double,na - while in labor or delivery did feel ignored/neglected by facility staff,NA,NA
mh16,haven_labelled|vctrs_vctr|double,na - while in labor or delivery did have privacy,NA,NA
mh17a,haven_labelled|vctrs_vctr|double,na - at delivery place did healthcare providers: treated you with respect,NA,NA
mh17b,haven_labelled|vctrs_vctr|double,na - at delivery place did healthcare providers: explained examinations/procedur,NA,NA
mh17c,haven_labelled|vctrs_vctr|double,na - at delivery place did healthcare providers: took best care of you,NA,NA
mh17d,haven_labelled|vctrs_vctr|double,na - at delivery place did healthcare providers: cs,NA,NA
mh17e,haven_labelled|vctrs_vctr|double,na - at delivery place did healthcare providers: cs,NA,NA
mh18a,haven_labelled|vctrs_vctr|double,na - during stay at health facility: shared bed with other patient,NA,NA
mh18b,haven_labelled|vctrs_vctr|double,na - during stay at health facility: rest/sleep on floor without mattress,NA,NA
mh18c,haven_labelled|vctrs_vctr|double,na - during stay at health facility: cs,NA,NA
mh18d,haven_labelled|vctrs_vctr|double,na - during stay at health facility: cs,NA,NA
mh19,haven_labelled|vctrs_vctr|double,na - during stay at health facility were denied medical services for lack of mon,NA,NA
mh20,haven_labelled|vctrs_vctr|double,na - were delayed or prevented to leave facility because of lack of payment,NA,NA
mh21a,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: slap you,NA,NA
mh21b,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: hit or punch you,NA,NA
mh21c,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: physically threaten you,NA,NA
mh21d,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: physically mistreat or harm you,NA,NA
mh21e,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: cs,NA,NA
mh21f,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: cs,NA,NA
mh22a,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: shout at you,NA,NA
mh22b,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: say or do something to humiliate you,NA,NA
mh22c,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: verbally threaten,NA,NA
mh22d,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: verbally mistreat you in any other wa,NA,NA
mh22e,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: cs,NA,NA
mh22f,haven_labelled|vctrs_vctr|double,na - during stay staff at health facility: cs,NA,NA
mh23,haven_labelled|vctrs_vctr|double,na - did health facility have toilet/latrine for patients,NA,NA
mh24,haven_labelled|vctrs_vctr|double,na - at any time wanted to use toilet/latrine but was not working,NA,NA
mh25,haven_labelled|vctrs_vctr|double,na - where did baby stay in first two days after birth,NA,NA
v400,numeric,line number of child used for questions on liquids and foods,NA,NA
v409,haven_labelled|vctrs_vctr|double,gave child plain water,NA,NA
v409a,haven_labelled|vctrs_vctr|double,na - gave child sugar water,NA,NA
v410,haven_labelled|vctrs_vctr|double,gave child fruit juice/fruit flavored drinks,NA,NA
v410a,haven_labelled|vctrs_vctr|double,gave child tea or coffee/herbal drinks,NA,NA
v410as,haven_labelled|vctrs_vctr|double,tea or coffee/herbal drink was sweetened,NA,NA
v411,haven_labelled|vctrs_vctr|double,"gave child tinned, powdered or fresh milk",NA,NA
v411s,haven_labelled|vctrs_vctr|double,"tinned, powdered or fresh milk was sweetened",NA,NA
v411a,haven_labelled|vctrs_vctr|double,gave child baby formula,NA,NA
v412,haven_labelled|vctrs_vctr|double,na - gave child fresh milk,NA,NA
v412a,haven_labelled|vctrs_vctr|double,"na - gave child fortified baby food (cerelac, etc)",NA,NA
v412b,haven_labelled|vctrs_vctr|double,na - gave child other porridge/gruel,NA,NA
v412c,haven_labelled|vctrs_vctr|double,gave child soup/clear broth,NA,NA
v413,haven_labelled|vctrs_vctr|double,gave child other liquid,NA,NA
v413s,haven_labelled|vctrs_vctr|double,other liquid was sweetened,NA,NA
v413a,haven_labelled|vctrs_vctr|double,gave child yogurt as a drink,NA,NA
v413as,haven_labelled|vctrs_vctr|double,yogurt as a drink was sweetened,NA,NA
v413b,haven_labelled|vctrs_vctr|double,gave child soy milk,NA,NA
v413bs,haven_labelled|vctrs_vctr|double,soy milk was sweetened,NA,NA
v413c,haven_labelled|vctrs_vctr|double,gave child chocolate flavored drinks,NA,NA
v413d,haven_labelled|vctrs_vctr|double,gave child sodas/malt/sports/energy drinks,NA,NA
v413e,haven_labelled|vctrs_vctr|double,na - gave child cs liquid,NA,NA
v413f,haven_labelled|vctrs_vctr|double,na - gave child cs liquid,NA,NA
v413g,haven_labelled|vctrs_vctr|double,na - gave child cs liquid,NA,NA
v413h,haven_labelled|vctrs_vctr|double,na - gave child cs liquid,NA,NA
v413i,haven_labelled|vctrs_vctr|double,na - gave child cs liquid,NA,NA
v414a,haven_labelled|vctrs_vctr|double,gave child any other vegetables,NA,NA
v414b,haven_labelled|vctrs_vctr|double,"gave child sausages, hot dogs, frankfurters, ham, bacon, salami, canned food",NA,NA
v414c,haven_labelled|vctrs_vctr|double,"gave child nuts, seeds",NA,NA
v414d,haven_labelled|vctrs_vctr|double,gave child any insects,NA,NA
v414e,haven_labelled|vctrs_vctr|double,"gave child bread, noodles, other made from grains",NA,NA
v414f,haven_labelled|vctrs_vctr|double,"gave child plantains, potatoes, cassava, or other tubers",NA,NA
v414g,haven_labelled|vctrs_vctr|double,gave child eggs,NA,NA
v414h,haven_labelled|vctrs_vctr|double,"gave child any other meat (beef, pork, lamb, chicken, etc)",NA,NA
v414i,haven_labelled|vctrs_vctr|double,"gave child pumpkin, carrots, squash (yellow or orange inside)",NA,NA
v414j,haven_labelled|vctrs_vctr|double,gave child any dark green leafy vegetables,NA,NA
v414k,haven_labelled|vctrs_vctr|double,"gave child mangoes, papayas, other vitamin a fruits",NA,NA
v414l,haven_labelled|vctrs_vctr|double,gave child any other fruits,NA,NA
v414m,haven_labelled|vctrs_vctr|double,"gave child liver, heart, other organs",NA,NA
v414n,haven_labelled|vctrs_vctr|double,gave child fish or shellfish,NA,NA
v414o,haven_labelled|vctrs_vctr|double,"gave child food made from beans, peas, lentils",NA,NA
v414p,haven_labelled|vctrs_vctr|double,gave child hard/soft cheese,NA,NA
v414q,haven_labelled|vctrs_vctr|double,"na - gave child oil, fats, butter, products made of them",NA,NA
v414r,haven_labelled|vctrs_vctr|double,"gave child cakes, candies, pastries, sweet biscuits, chin chin, puff, etc",NA,NA
v414s,haven_labelled|vctrs_vctr|double,gave child other solid-semisolid food,NA,NA
v414t,haven_labelled|vctrs_vctr|double,"gave child chips, crisps, french fries, fried dough, instant noodles",NA,NA
v414u,haven_labelled|vctrs_vctr|double,gave child red palm oil or red palm fruit,NA,NA
v414v,haven_labelled|vctrs_vctr|double,gave child yogurt,NA,NA
v414w,haven_labelled|vctrs_vctr|double,"gave child sweets, chocolates, ice cream, or sesame brittle",NA,NA
v414wa,haven_labelled|vctrs_vctr|double,na - gave child cs foods,NA,NA
v414wb,haven_labelled|vctrs_vctr|double,na - gave child cs foods,NA,NA
v414wc,haven_labelled|vctrs_vctr|double,na - gave child cs foods,NA,NA
v414wd,haven_labelled|vctrs_vctr|double,na - gave child cs foods,NA,NA
v414we,haven_labelled|vctrs_vctr|double,na - gave child cs foods,NA,NA
v465,haven_labelled|vctrs_vctr|double,disposal of youngest child's stools when not using toilet,NA,NA
v469e,haven_labelled|vctrs_vctr|double,times gave child powdered/tinned/fresh milk,NA,NA
v469f,haven_labelled|vctrs_vctr|double,times gave child infant formula,NA,NA
v469x,haven_labelled|vctrs_vctr|double,times gave child yogurt,NA,NA
v486,haven_labelled|vctrs_vctr|double,"last 6 months, health care provider advised what to feed to child",NA,NA
hidx,numeric,index to birth history,NA,NA
h1,haven_labelled|vctrs_vctr|double,has health card,NA,NA
h1a,haven_labelled|vctrs_vctr|double,has health card and or other vaccination document,NA,NA
h2,haven_labelled|vctrs_vctr|double,received bcg,NA,NA
h2d,haven_labelled|vctrs_vctr|double,bcg day,NA,NA
h2m,haven_labelled|vctrs_vctr|double,bcg month,NA,NA
h2y,haven_labelled|vctrs_vctr|double,bcg year,NA,NA
h3,haven_labelled|vctrs_vctr|double,received dpt 1,NA,NA
h3d,haven_labelled|vctrs_vctr|double,dpt 1 day,NA,NA
h3m,haven_labelled|vctrs_vctr|double,dpt 1 month,NA,NA
h3y,haven_labelled|vctrs_vctr|double,dpt 1 year,NA,NA
h4,haven_labelled|vctrs_vctr|double,received polio 1,NA,NA
h4d,haven_labelled|vctrs_vctr|double,polio 1 day,NA,NA
h4m,haven_labelled|vctrs_vctr|double,polio 1 month,NA,NA
h4y,haven_labelled|vctrs_vctr|double,polio 1 year,NA,NA
h5,haven_labelled|vctrs_vctr|double,received dpt 2,NA,NA
h5d,haven_labelled|vctrs_vctr|double,dpt 2 day,NA,NA
h5m,haven_labelled|vctrs_vctr|double,dpt 2 month,NA,NA
h5y,haven_labelled|vctrs_vctr|double,dpt 2 year,NA,NA
h6,haven_labelled|vctrs_vctr|double,received polio 2,NA,NA
h6d,haven_labelled|vctrs_vctr|double,polio 2 day,NA,NA
h6m,haven_labelled|vctrs_vctr|double,polio 2 month,NA,NA
h6y,haven_labelled|vctrs_vctr|double,polio 2 year,NA,NA
h7,haven_labelled|vctrs_vctr|double,received dpt 3,NA,NA
h7d,haven_labelled|vctrs_vctr|double,dpt 3 day,NA,NA
h7m,haven_labelled|vctrs_vctr|double,dpt 3 month,NA,NA
h7y,haven_labelled|vctrs_vctr|double,dpt 3 year,NA,NA
h8,haven_labelled|vctrs_vctr|double,received polio 3,NA,NA
h8d,haven_labelled|vctrs_vctr|double,polio 3 day,NA,NA
h8m,haven_labelled|vctrs_vctr|double,polio 3 month,NA,NA
h8y,haven_labelled|vctrs_vctr|double,polio 3 year,NA,NA
h9,haven_labelled|vctrs_vctr|double,received measles 1,NA,NA
h9d,haven_labelled|vctrs_vctr|double,measles 1 day,NA,NA
h9m,haven_labelled|vctrs_vctr|double,measles 1 month,NA,NA
h9y,haven_labelled|vctrs_vctr|double,measles 1 year,NA,NA
h9a,haven_labelled|vctrs_vctr|double,received measles 2,NA,NA
h9ad,haven_labelled|vctrs_vctr|double,measles 2 day,NA,NA
h9am,haven_labelled|vctrs_vctr|double,measles 2 month,NA,NA
h9ay,haven_labelled|vctrs_vctr|double,measles 2 year,NA,NA
h0,haven_labelled|vctrs_vctr|double,received polio 0,NA,NA
h0d,haven_labelled|vctrs_vctr|double,polio 0 day,NA,NA
h0m,haven_labelled|vctrs_vctr|double,polio 0 month,NA,NA
h0y,haven_labelled|vctrs_vctr|double,polio 0 year,NA,NA
h10,haven_labelled|vctrs_vctr|double,ever had vaccination,NA,NA
h25d,haven_labelled|vctrs_vctr|double,day of birth from vaccination card,NA,NA
h25m,haven_labelled|vctrs_vctr|double,month of birth from vaccination card,NA,NA
h25y,haven_labelled|vctrs_vctr|double,year of birth from vaccination card,NA,NA
h26,haven_labelled|vctrs_vctr|double,photograph of vaccination card available,NA,NA
h33,haven_labelled|vctrs_vctr|double,received vitamin a1 (most recent),NA,NA
h33d,haven_labelled|vctrs_vctr|double,vitamin a1 day,NA,NA
h33m,haven_labelled|vctrs_vctr|double,vitamin a1 month,NA,NA
h33y,haven_labelled|vctrs_vctr|double,vitamin a1 year,NA,NA
h40,haven_labelled|vctrs_vctr|double,na - received vitamin a2 (2nd most recent),NA,NA
h40d,haven_labelled|vctrs_vctr|double,na - vitamin a2 day,NA,NA
h40m,haven_labelled|vctrs_vctr|double,na - vitamin a2 month,NA,NA
h40y,haven_labelled|vctrs_vctr|double,na - vitamin a2 year,NA,NA
h50,haven_labelled|vctrs_vctr|double,received hepatitis b at birth,NA,NA
h50d,haven_labelled|vctrs_vctr|double,hepatitis b at birth day,NA,NA
h50m,haven_labelled|vctrs_vctr|double,hepatitis b at birth month,NA,NA
h50y,haven_labelled|vctrs_vctr|double,hepatitis b at birth year,NA,NA
h51,haven_labelled|vctrs_vctr|double,received pentavalent 1,NA,NA
h51d,haven_labelled|vctrs_vctr|double,pentavalent 1 day,NA,NA
h51m,haven_labelled|vctrs_vctr|double,pentavalent 1 month,NA,NA
h51y,haven_labelled|vctrs_vctr|double,pentavalent 1 year,NA,NA
h52,haven_labelled|vctrs_vctr|double,received pentavalent 2,NA,NA
h52d,haven_labelled|vctrs_vctr|double,pentavalent 2 day,NA,NA
h52m,haven_labelled|vctrs_vctr|double,pentavalent 2 month,NA,NA
h52y,haven_labelled|vctrs_vctr|double,pentavalent 2 year,NA,NA
h53,haven_labelled|vctrs_vctr|double,received pentavalent 3,NA,NA
h53d,haven_labelled|vctrs_vctr|double,pentavalent 3 day,NA,NA
h53m,haven_labelled|vctrs_vctr|double,pentavalent 3 month,NA,NA
h53y,haven_labelled|vctrs_vctr|double,pentavalent 3 year,NA,NA
h54,haven_labelled|vctrs_vctr|double,received pneumococcal 1,NA,NA
h54d,haven_labelled|vctrs_vctr|double,pneumococcal 1 day,NA,NA
h54m,haven_labelled|vctrs_vctr|double,pneumococcal 1 month,NA,NA
h54y,haven_labelled|vctrs_vctr|double,pneumococcal 1 year,NA,NA
h55,haven_labelled|vctrs_vctr|double,received pneumococcal 2,NA,NA
h55d,haven_labelled|vctrs_vctr|double,pneumococcal 2 day,NA,NA
h55m,haven_labelled|vctrs_vctr|double,pneumococcal 2 month,NA,NA
h55y,haven_labelled|vctrs_vctr|double,pneumococcal 2 year,NA,NA
h56,haven_labelled|vctrs_vctr|double,received pneumococcal 3,NA,NA
h56d,haven_labelled|vctrs_vctr|double,pneumococcal 3 day,NA,NA
h56m,haven_labelled|vctrs_vctr|double,pneumococcal 3 month,NA,NA
h56y,haven_labelled|vctrs_vctr|double,pneumococcal 3 year,NA,NA
h57,haven_labelled|vctrs_vctr|double,received rotavirus 1,NA,NA
h57d,haven_labelled|vctrs_vctr|double,rotavirus 1 day,NA,NA
h57m,haven_labelled|vctrs_vctr|double,rotavirus 1 month,NA,NA
h57y,haven_labelled|vctrs_vctr|double,rotavirus 1 year,NA,NA
h58,haven_labelled|vctrs_vctr|double,received rotavirus 2,NA,NA
h58d,haven_labelled|vctrs_vctr|double,rotavirus 2 day,NA,NA
h58m,haven_labelled|vctrs_vctr|double,rotavirus 2 month,NA,NA
h58y,haven_labelled|vctrs_vctr|double,rotavirus 2 year,NA,NA
h59,haven_labelled|vctrs_vctr|double,received rotavirus 3,NA,NA
h59d,haven_labelled|vctrs_vctr|double,rotavirus 3 day,NA,NA
h59m,haven_labelled|vctrs_vctr|double,rotavirus 3 month,NA,NA
h59y,haven_labelled|vctrs_vctr|double,rotavirus 3 year,NA,NA
h60,haven_labelled|vctrs_vctr|double,received inactivated polio (ipv-1),NA,NA
h60d,haven_labelled|vctrs_vctr|double,inactivated polio (ipv-1) day,NA,NA
h60m,haven_labelled|vctrs_vctr|double,inactivated polio (ipv-1) month,NA,NA
h60y,haven_labelled|vctrs_vctr|double,inactivated polio (ipv-1) year,NA,NA
h61,haven_labelled|vctrs_vctr|double,received hepatitis b 1,NA,NA
h61d,haven_labelled|vctrs_vctr|double,hepatitis b 1 day,NA,NA
h61m,haven_labelled|vctrs_vctr|double,hepatitis b 1 month,NA,NA
h61y,haven_labelled|vctrs_vctr|double,hepatitis b 1 year,NA,NA
h62,haven_labelled|vctrs_vctr|double,received hepatitis b 2,NA,NA
h62d,haven_labelled|vctrs_vctr|double,hepatitis b 2 day,NA,NA
h62m,haven_labelled|vctrs_vctr|double,hepatitis b 2 month,NA,NA
h62y,haven_labelled|vctrs_vctr|double,hepatitis b 2 year,NA,NA
h63,haven_labelled|vctrs_vctr|double,received hepatitis b 3,NA,NA
h63d,haven_labelled|vctrs_vctr|double,hepatitis b 3 day,NA,NA
h63m,haven_labelled|vctrs_vctr|double,hepatitis b 3 month,NA,NA
h63y,haven_labelled|vctrs_vctr|double,hepatitis b 3 year,NA,NA
h64,haven_labelled|vctrs_vctr|double,na - received hib 1,NA,NA
h64d,haven_labelled|vctrs_vctr|double,na - hib 1 day,NA,NA
h64m,haven_labelled|vctrs_vctr|double,na - hib 1 month,NA,NA
h64y,haven_labelled|vctrs_vctr|double,na - hib 1 year,NA,NA
h65,haven_labelled|vctrs_vctr|double,na - received hib 2,NA,NA
h65d,haven_labelled|vctrs_vctr|double,na - hib 2 day,NA,NA
h65m,haven_labelled|vctrs_vctr|double,na - hib 2 month,NA,NA
h65y,haven_labelled|vctrs_vctr|double,na - hib 2 year,NA,NA
h66,haven_labelled|vctrs_vctr|double,na - received hib 3,NA,NA
h66d,haven_labelled|vctrs_vctr|double,na - hib 3 day,NA,NA
h66m,haven_labelled|vctrs_vctr|double,na - hib 3 month,NA,NA
h66y,haven_labelled|vctrs_vctr|double,na - hib 3 year,NA,NA
h67,haven_labelled|vctrs_vctr|double,na - received pentavalent 4,NA,NA
h67d,haven_labelled|vctrs_vctr|double,na - pentavalent 4 day,NA,NA
h67m,haven_labelled|vctrs_vctr|double,na - pentavalent 4 month,NA,NA
h67y,haven_labelled|vctrs_vctr|double,na - pentavalent 4 year,NA,NA
h68,haven_labelled|vctrs_vctr|double,hepatitis b at birth received within 24 of birth,NA,NA
h69,haven_labelled|vctrs_vctr|double,place where most vaccinations were received,NA,NA
hidxa,numeric,index to birth history,NA,NA
h11,haven_labelled|vctrs_vctr|double,had diarrhea recently,NA,NA
h11b,haven_labelled|vctrs_vctr|double,na - blood in the stools,NA,NA
h12a,haven_labelled|vctrs_vctr|double,diarrhea: teaching hospital,NA,NA
h12b,haven_labelled|vctrs_vctr|double,diarrhea: federal medical center,NA,NA
h12c,haven_labelled|vctrs_vctr|double,diarrhea: general hospital,NA,NA
h12d,haven_labelled|vctrs_vctr|double,diarrhea: primary health care center,NA,NA
h12e,haven_labelled|vctrs_vctr|double,diarrhea: primary health clinic,NA,NA
h12f,haven_labelled|vctrs_vctr|double,diarrhea: health post,NA,NA
h12g,haven_labelled|vctrs_vctr|double,diarrhea: other public sector,NA,NA
h12h,haven_labelled|vctrs_vctr|double,na - diarrhea: cs public sector,NA,NA
h12i,haven_labelled|vctrs_vctr|double,na - diarrhea: cs public sector,NA,NA
h12j,haven_labelled|vctrs_vctr|double,diarrhea: private hospital,NA,NA
h12k,haven_labelled|vctrs_vctr|double,diarrhea: pharmacy,NA,NA
h12l,haven_labelled|vctrs_vctr|double,diarrhea: private doctor,NA,NA
h12m,haven_labelled|vctrs_vctr|double,diarrhea: private clinic,NA,NA
h12n,haven_labelled|vctrs_vctr|double,diarrhea: patent & proprietary medicine vendors (ppmv),NA,NA
h12o,haven_labelled|vctrs_vctr|double,diarrhea: mobile clinic,NA,NA
h12p,haven_labelled|vctrs_vctr|double,diarrhea: maternity center,NA,NA
h12q,haven_labelled|vctrs_vctr|double,diarrhea: other private medical sector,NA,NA
h12r,haven_labelled|vctrs_vctr|double,na - diarrhea: cs private medical,NA,NA
h12na,haven_labelled|vctrs_vctr|double,diarrhea: faith-based hospital,NA,NA
h12nb,haven_labelled|vctrs_vctr|double,diarrhea: faith-based clinic,NA,NA
h12nc,haven_labelled|vctrs_vctr|double,diarrhea: other ngo sector,NA,NA
h12nd,haven_labelled|vctrs_vctr|double,na - diarrhea: cs ngo,NA,NA
h12ne,haven_labelled|vctrs_vctr|double,na - diarrhea: cs ngo,NA,NA
h12s,haven_labelled|vctrs_vctr|double,diarrhea: shop,NA,NA
h12t,haven_labelled|vctrs_vctr|double,diarrhea: traditional practitioner,NA,NA
h12u,haven_labelled|vctrs_vctr|double,diarrhea: market,NA,NA
h12v,haven_labelled|vctrs_vctr|double,diarrhea: itinerant drug seller,NA,NA
h12w,haven_labelled|vctrs_vctr|double,na - diarrhea: cs other sector,NA,NA
h12x,haven_labelled|vctrs_vctr|double,diarrhea: other,NA,NA
h12y,haven_labelled|vctrs_vctr|double,diarrhea: no treatment,NA,NA
h12z,haven_labelled|vctrs_vctr|double,diarrhea: medical treatment,NA,NA
h13,haven_labelled|vctrs_vctr|double,given oral rehydration,NA,NA
h13b,haven_labelled|vctrs_vctr|double,given pre-packaged ors liquid,NA,NA
h14,haven_labelled|vctrs_vctr|double,given recommended home solution,NA,NA
h15,haven_labelled|vctrs_vctr|double,given antibiotic pills or syrups,NA,NA
h15a,haven_labelled|vctrs_vctr|double,given antimotility,NA,NA
h15b,haven_labelled|vctrs_vctr|double,given antibiotic injection,NA,NA
h15c,haven_labelled|vctrs_vctr|double,given intravenous (iv),NA,NA
h15d,haven_labelled|vctrs_vctr|double,"given home remedy, herbal medicine",NA,NA
h15e,haven_labelled|vctrs_vctr|double,given zinc,NA,NA
h15f,haven_labelled|vctrs_vctr|double,"given other (not antibiotic, antimotility, zinc)",NA,NA
h15g,haven_labelled|vctrs_vctr|double,given unknown pill or syrup,NA,NA
h15h,haven_labelled|vctrs_vctr|double,given non-antibiotic injection,NA,NA
h15i,haven_labelled|vctrs_vctr|double,given unknown injection,NA,NA
h15j,haven_labelled|vctrs_vctr|double,na - given cs,NA,NA
h15k,haven_labelled|vctrs_vctr|double,na - given cs,NA,NA
h15l,haven_labelled|vctrs_vctr|double,na - given cs,NA,NA
h15m,haven_labelled|vctrs_vctr|double,na - given cs,NA,NA
h20,haven_labelled|vctrs_vctr|double,given other treatment,NA,NA
h21a,haven_labelled|vctrs_vctr|double,given no treatment,NA,NA
h21,haven_labelled|vctrs_vctr|double,received any treatment,NA,NA
h22,haven_labelled|vctrs_vctr|double,had fever in last two weeks,NA,NA
h31,haven_labelled|vctrs_vctr|double,had cough in last two weeks,NA,NA
h31b,haven_labelled|vctrs_vctr|double,"short, rapid breaths",NA,NA
h31c,haven_labelled|vctrs_vctr|double,problem in the chest or blocked or running nose,NA,NA
h31d,haven_labelled|vctrs_vctr|double,na - had fever/cough in last 2 weeks: amount offered to drink,NA,NA
h31e,haven_labelled|vctrs_vctr|double,na - had fever/cough in last 2 weeks: amount offered to eat,NA,NA
h32a,haven_labelled|vctrs_vctr|double,fever/cough: teaching hospital,NA,NA
h32b,haven_labelled|vctrs_vctr|double,fever/cough: federal mdical center,NA,NA
